user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.1.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.38	0.793							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.14.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	88.16	0.363	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 84.78, 0.182	90.02	11.0	0.96984	Genome has more than 11.3% of markers with multiple hits
MEGAHIT-MetaBAT2-Sample_ID26-SF_10_BOTTOM.9.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	96.12	0.796							ani_screen	classification based on ANI only	GCA_003139855.1, s__Bog-38 sp003139855, 95.0, 90.61, 0.582; GCA_003158275.1, s__Bog-38 sp003158275, 96.79, 89.91, 0.36; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 93.34, 0.708				
MEGAHIT-CONCOCTRefined-Sample_ID26-SF_10_BOTTOM.28.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	96.05	0.756							ani_screen	classification based on ANI only	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 93.25, 0.667; GCA_003158275.1, s__Bog-38 sp003158275, 96.79, 89.91, 0.335; GCA_003139855.1, s__Bog-38 sp003139855, 95.0, 90.51, 0.541				
MEGAHIT-MaxBin2Refined-Sample_ID26-SF_10_BOTTOM.011_sub.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	97.94	0.614	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI			84.66	11.0	0.9981	
MEGAHIT-MaxBin2Refined-Sample_ID26-SF_10_BOTTOM.012.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	87.88	0.384	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 84.72, 0.209	90.02	11.0	0.96984	Genome has more than 11.3% of markers with multiple hits
MEGAHIT-CONCOCTRefined-Sample_ID32-SF_13_BOTTOM.0.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__UBA12454;s__UBA12454 sp003142595	GCA_003142595.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__UBA12454;s__UBA12454 sp003142595	99.97	0.983							ani_screen	classification based on ANI only					
MEGAHIT-CONCOCTRefined-Sample_ID32-SF_13_BOTTOM.11.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__											d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		66.34	11.0	0.97338	
MEGAHIT-CONCOCTRefined-Sample_ID32-SF_13_BOTTOM.2.fa	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575	GCA_003142575.1	95.0	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575	99.63	0.917							ani_screen	classification based on ANI only	GCA_003155495.1, s__Fen-1298 sp003155495, 95.0, 89.62, 0.413				
MEGAHIT-CONCOCTRefined-Sample_ID32-SF_13_BOTTOM.3.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__											d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570935.1, s__Cryosericum odellii, 95.0, 91.57, 0.266; GCF_003570985.1, s__Cryosericum hinesii, 95.0, 91.17, 0.362; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 89.88, 0.184; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 89.67, 0.237	51.68	11.0	0.99068	
MEGAHIT-DASToolUnbinned-Sample_ID32-SF_13_BOTTOM.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141895	GCA_003141895.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141895	99.91	0.702							ani_screen	classification based on ANI only	GCA_003142755.1, s__Fen-1039 sp003142755, 95.0, 99.62, 0.368; GCA_003133425.1, s__Occallatibacter sp003133425, 95.0, 96.32, 0.336				
MEGAHIT-MaxBin2-Sample_ID36-SF_15_BOTTOM.002.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	98.05	0.784							ani_screen	classification based on ANI only	GCA_003139855.1, s__Bog-38 sp003139855, 95.0, 92.51, 0.382; GCA_003158275.1, s__Bog-38 sp003158275, 96.79, 92.23, 0.252; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 94.18, 0.543				
MEGAHIT-CONCOCTRefined-Sample_ID34-SF_14_BOTTOM.24_sub.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	98.75	0.833							ani_screen	classification based on ANI only	GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 93.98, 0.448; GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 90.55, 0.276				
MEGAHIT-CONCOCTRefined-Sample_ID34-SF_14_BOTTOM.29.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__						GCA_003170415.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__Fen-1362 sp003170415	91.23	0.424	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003141275.1, s__Fen-1362 sp003141275, 95.0, 90.22, 0.326	76.92	11.0	0.99339	
MEGAHIT-CONCOCTRefined-Sample_ID34-SF_14_BOTTOM.38.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__											d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570985.1, s__Cryosericum hinesii, 95.0, 91.59, 0.354; GCF_003570935.1, s__Cryosericum odellii, 95.0, 91.52, 0.246; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 90.27, 0.245; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 89.92, 0.191	60.81	11.0	0.99109	
MEGAHIT-MaxBin2Refined-Sample_ID34-SF_14_BOTTOM.008_sub.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.64	0.829							ani_screen	classification based on ANI only	GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.39, 0.209; GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.01, 0.198				
MEGAHIT-MetaBAT2Refined-Sample_ID34-SF_14_BOTTOM.10.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.61	0.856							ani_screen	classification based on ANI only	GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.57, 0.391; GCA_003141715.1, s__LD21 sp003141715, 95.0, 83.62, 0.158				
MEGAHIT-DASToolUnbinned-Sample_ID36-SF_15_BOTTOM.fa	d__Bacteria;p__UBA8481;c__;o__;f__;g__;s__											d__Bacteria;p__UBA8481;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in backbone tree		22.3	11.0	0.29503	Genome has more than 54.2% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.001.fa	Unclassified Bacteria																		Insufficient number of amino acids in MSA (7.6%)
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.002.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__						GCF_003570985.1	95.0	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__Cryosericum hinesii	95.76	0.368	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570935.1, s__Cryosericum odellii, 95.0, 94.24, 0.236; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 93.54, 0.246; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 92.77, 0.229	45.1	11.0	0.99699	Genome has more than 15.0% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.004.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	97.75	0.812							ani_screen	classification based on ANI only	GCA_027458945.1, s__RBG-13-68-16 sp027458945, 95.0, 87.05, 0.212; GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 87.7, 0.399; GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 92.78, 0.659; GCA_021818005.1, s__RBG-13-68-16 sp021818005, 95.0, 84.77, 0.183				
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.005.fa	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__						GCA_003170655.1	95.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__Fen-1308 sp003170655	97.5	0.338	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		38.37	11.0	0.98928	Genome has more than 13.3% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.006.fa	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__						GCA_003141435.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__Fen-1301 sp003141435	84.2	0.19	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		86.36	11.0	0.96215	
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.007.fa	d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__						GCA_003132605.1	95.0	d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__Palsa-1188 sp003132605	99.36	0.634	d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003160265.1, s__Palsa-1188 sp003160265, 95.0, 92.64, 0.268	60.71	11.0	0.99859	
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.008.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.33	0.823							ani_screen	classification based on ANI only	GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.02, 0.202; GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.08, 0.222				
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.009.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.36	0.963							ani_screen	classification based on ANI only	GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.13, 0.177; GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.35, 0.408; GCA_003141415.1, s__LD21 sp003141415, 95.0, 89.92, 0.247				
MEGAHIT-MaxBin2-Sample_ID26-SF_10_BOTTOM.010.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp003142515	GCA_003142515.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__FEN-979 sp003142515	97.11	0.772							ani_screen	classification based on ANI only	GCA_017882335.1, s__FEN-979 sp017882335, 95.0, 84.85, 0.292				
MEGAHIT-DASToolUnbinned-Sample_ID38-SF_16_BOTTOM.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__											d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		22.3	11.0	0.98532	Genome has more than 10.8% of markers with multiple hits
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.11.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141895	GCA_003141895.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141895	99.96	0.789							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.2.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__											d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		67.71	11.0	0.97379	
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.4.fa	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575	GCA_003142575.1	95.0	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575	99.65	0.888							ani_screen	classification based on ANI only	GCA_003155495.1, s__Fen-1298 sp003155495, 95.0, 89.62, 0.449				
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.5.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__											d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570935.1, s__Cryosericum odellii, 95.0, 91.36, 0.325; GCF_003570985.1, s__Cryosericum hinesii, 95.0, 91.11, 0.488; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 89.67, 0.345; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 89.52, 0.272; GCA_013824685.1, s__Cryosericum sp013824685, 95.0, 88.43, 0.203	25.3	11.0	0.98986	
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.7.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__Occallatibacter sp003133425	GCA_003133425.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__Occallatibacter sp003133425	96.3	0.684							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-Sample_ID32-SF_13_BOTTOM.8.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__UBA12454;s__UBA12454 sp003142595	GCA_003142595.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__UBA12454;s__UBA12454 sp003142595	99.97	0.983							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.001.fa	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__;g__;s__											d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		14.14	11.0	0.62678	
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.003.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Fen-183 sp003152095	GCA_003152095.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Fen-183 sp003152095	99.58	0.907							ani_screen	classification based on ANI only	GCA_937888435.1, s__Fen-183 sp937888435, 95.0, 88.44, 0.302				
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.004.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__						GCF_003570935.1	95.0	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__Cryosericum odellii			d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570985.1, s__Cryosericum hinesii, 95.0, 96.6, 0.223	25.74	11.0	0.99592	Genome has more than 14.2% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.005.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	97.88	0.789							ani_screen	classification based on ANI only	GCA_021818005.1, s__RBG-13-68-16 sp021818005, 95.0, 84.57, 0.16; GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 88.47, 0.358; GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 92.45, 0.596; GCA_027458945.1, s__RBG-13-68-16 sp027458945, 95.0, 87.11, 0.186				
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.006.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.77	0.846							ani_screen	classification based on ANI only	GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.83, 0.229; GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.01, 0.21				
MEGAHIT-MaxBin2-Sample_ID22-SF_8_BOTTOM.009.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.71	0.801							ani_screen	classification based on ANI only	GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.76, 0.404; GCA_003141415.1, s__LD21 sp003141415, 95.0, 85.61, 0.192; GCA_003141715.1, s__LD21 sp003141715, 95.0, 83.38, 0.171				
MEGAHIT-CONCOCTRefined-Sample_ID22-SF_8_BOTTOM.24.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Fen-183 sp003152095	GCA_003152095.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Fen-183 sp003152095	99.59	0.9							ani_screen	classification based on ANI only	GCA_937888435.1, s__Fen-183 sp937888435, 95.0, 88.41, 0.3				
MEGAHIT-MaxBin2Refined-Sample_ID22-SF_8_BOTTOM.009_sub.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	GCA_003141495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141495	99.71	0.801							ani_screen	classification based on ANI only	GCA_003162595.1, s__LD21 sp003162595, 95.0, 89.76, 0.404; GCA_003141715.1, s__LD21 sp003141715, 95.0, 83.38, 0.172; GCA_003141415.1, s__LD21 sp003141415, 95.0, 85.61, 0.193				
MEGAHIT-MetaBAT2Refined-Sample_ID22-SF_8_BOTTOM.2_sub.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	GCA_003141415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141415	99.74	0.864							ani_screen	classification based on ANI only	GCA_017882305.1, s__LD21 sp017882305, 95.0, 83.84, 0.229; GCA_003141715.1, s__LD21 sp003141715, 95.0, 84.0, 0.209; GCA_003141525.1, s__LD21 sp003141525, 95.0, 83.34, 0.152				
MEGAHIT-MetaBAT2Refined-Sample_ID22-SF_8_BOTTOM.4.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	GCA_003133645.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645	97.95	0.78							ani_screen	classification based on ANI only	GCA_027458945.1, s__RBG-13-68-16 sp027458945, 95.0, 87.11, 0.186; GCA_004298115.1, s__RBG-13-68-16 sp004298115, 95.0, 88.46, 0.383; GCA_021818005.1, s__RBG-13-68-16 sp021818005, 95.0, 84.49, 0.161; GCA_002279285.1, s__RBG-13-68-16 sp002279285, 95.0, 92.44, 0.59				
MEGAHIT-MaxBin2-Sample_ID32-SF_13_BOTTOM.002.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__											d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003570935.1, s__Cryosericum odellii, 95.0, 91.52, 0.175; GCF_003570985.1, s__Cryosericum hinesii, 95.0, 91.16, 0.238; GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 89.88, 0.153; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 89.67, 0.158	42.9	11.0	0.99104	Genome has more than 15.0% of markers with multiple hits
MEGAHIT-MaxBin2-Sample_ID32-SF_13_BOTTOM.003.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__						GCA_003133425.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__Occallatibacter sp003133425	96.35	0.358	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		39.7	11.0	0.99704	Genome has more than 10.8% of markers with multiple hits
